Island Number,Census Tract,KCMO Portion or Not,STFID Label,STFID Number,County,X Centroid,Y Centroid,Population,Age Under 5 Years,Age 5 to 9 Years,Age 10 to 14 Years,Age 15 to 19 Years,Age 20 to 24 Years,Age 25 to 34 Years,Age 35 to 44 Years,Age 45 to 54 Years,Age 55 to 59 Years,Age 60 to 64 Years,Age 65 to 74 Years,Age 75 Years or Older,% Age Under 5 Years,% Age 5 to 9 Years,% Age 10 to 14 Years,% Age 15 to 19 Years,% Age 20 to 24 Years,% Age 25 to 34 Years,% Age 35 to 44 Years,% Age 45 to 54 Years,% Age 55 to 59 Years,% Age 60 to 64 Years,% Age 65 to 74 Years,% Age 75 Years or Older,Median Age,Children 5 to 17 Years Old,% Children 5 to 17 Years Old,Whites,African Americans,Native Americans,Asians,Pacific Islanders,Persons of Other Races,Persons of More than One Race,% Whites,% African Americans,% Native Americans,% Asians,% Pacific Islanders,% Persons of Other Races,% Persons of More than One Race,Hispanics of Any Race,% Hispanics of Any Race,Minority Persons,% Minority Persons,Households,Married Couples With Own Children Under 18,Married Couples Without Own Children Under 18,Female Householder With No Husband With Own Children Under 18,Female Householder With No Husband Without Own Children Under 18,Male Householder With No Wife With Own Children Under 18,Male Householder With No Wife Without Own Children Under 18,Non-Family Households,% Married Couples With Own Children Under 18,% Married Couples Without Own Children Under 18,% Female Householder With No Husband With Own Children Under 18,% Female Householder With No Husband Without Own Children Under 18,% Male Householder With No Wife With Own Children Under 18,% Male Householder With No Wife Without Own Children Under 18,% Non-Family Households,Average Persons per Household,Persons 16 or Older in Labor Force,Persons 16 or Older Not in Labor Force,% Persons 16 or Older Not in Labor Force,Persons in Labor Force and Employed,Persons in Labor Force and Unemployed,% of Labor Force Unemployed,Persons 25 or Older with Less than High School Diploma,Persons 25 or Older with High School Diploma and Less than BA Degree,Persons 25 or Older with BA Degree or Higher,% Persons 25 or Older with Less than High School Diploma,% Persons 25 or Older with High School Diploma and Less than BA Degree,% Persons 25 or Older with BA Degree or Higher,Median Household Income,Persons Below Poverty Level,% Persons Below Poverty Level,Housing Units,Single Family Units,Multifamily Units,% Single Family Units,% Multifamily Units,Average Housing Unit Age,Units Built Before 1940,Units Built 1940 to 1949,Units Built 1950 to 1959,Units Built 1960 to 1969,Units Built 1970 to 1979,Units Built 1980 to 1989,Units Built 1990 to 1999,Units Built 2000 to 2010,Units Built 2011 to 2013,% Units Built Before 1940,% Units Built 1940 to 1949,% Units Built 1950 to 1959,% Units Built 1960 to 1969,% Units Built 1970 to 1979,% Units Built 1980 to 1989,% Units Built 1990 to 1999,% Units Built 2000 to 2010,% Units Built 2011 to 2013,Median Home Value,Owner-Occupied Units,Renter-Occupied Units,% Owner-Occupied Units,% Renter-Occupied Units,Vacant Units,% Vacant Units
1,601,KCMO,29037060100,29037060100,Cass,2771674,971518,109,3,0,0,34,45,12,7,8,0,0,0,0,3,0,0,30.7,41.6,10.8,6.7,7.2,0,0,0,0,22,2,1.5,93,0,0,12,0,0,5,85.3,0,0,10.5,0,0,4.2,0,0,13,11.9,24,4,0,0,0,0,0,20,15.6,0,0,0,0,0,84.4,1.12,81,24,22.8,54,27,32.9,0,11,17,0,39.8,60.2,33272.00,0,0,24,0,24,0,100,1973,0,0,11,0,4,0,9,0,0,0,0,47.2,0,15.4,0,37.3,0,0,37500.00,0,24,0,100,0,0
2,202.01,KCMO,29047020201,29047020201,Clay,2769244,1092055,4695,214,291,123,332,461,979,639,502,295,262,285,312,4.6,6.2,2.6,7.1,9.8,20.9,13.6,10.7,6.3,5.6,6.1,6.6,34.5,649,13.8,3221,507,12,539,198,64,154,68.6,10.8,0.3,11.5,4.2,1.4,3.3,254,5.4,1652,35.2,2162,119,411,231,150,48,100,1103,5.5,19,10.7,6.9,2.2,4.6,51,2.17,2731,1249,31.4,2509,222,8.1,398,2303,573,12.2,70.3,17.5,39198.00,733,15.7,2506,1612,894,64.3,35.7,1967,165,451,556,137,473,238,320,105,61,6.6,18,22.2,5.5,18.9,9.5,12.8,4.2,2.4,93946.00,940,1222,43.5,56.5,344,13.7
3,202.02,KCMO,29047020202,29047020202,Clay,2761381,1095073,3232,110,144,162,204,133,340,371,576,246,323,408,214,3.4,4.5,5,6.3,4.1,10.5,11.5,17.8,7.6,10,12.6,6.6,47.6,461,14.3,2869,39,10,91,0,120,104,88.8,1.2,0.3,2.8,0,3.7,3.2,319,9.9,565,17.5,1470,243,511,87,93,14,22,501,16.5,34.8,5.9,6.3,1,1.5,34,2.2,1868,925,33.1,1785,83,4.4,29,1001,1443,1.2,40.5,58.3,81444.00,113,3.5,1596,1357,239,85,15,1977,11,93,380,246,144,180,190,352,0,0.7,5.8,23.8,15.4,9,11.3,11.9,22.1,0,212106.00,1239,231,84.3,15.7,126,7.9
4,203,KCMO,29047020300,29047020300,Clay,2768859,1100172,5308,487,380,193,294,445,892,749,718,377,287,201,284,9.2,7.2,3.6,5.5,8.4,16.8,14.1,13.5,7.1,5.4,3.8,5.4,34.6,762,14.4,4188,477,10,418,0,18,197,78.9,9,0.2,7.9,0,0.3,3.7,522,9.8,1672,31.5,2217,401,522,155,67,28,46,999,18.1,23.5,7,3,1.3,2.1,45,2.38,3134,1029,24.7,2901,233,7.4,345,2188,980,9.8,62.3,27.9,45763.00,848,16.2,2498,1596,902,63.9,36.1,1970,33,116,704,556,431,349,139,171,0,1.3,4.6,28.2,22.2,17.3,14,5.6,6.8,0,133997.00,1178,1040,53.1,46.9,281,11.2
5,204,KCMO,29047020400,29047020400,Clay,2772599,1096332,2480,140,251,143,45,125,522,299,373,192,96,170,124,5.6,10.1,5.8,1.8,5,21,12.1,15,7.7,3.9,6.9,5,35.5,427,17.2,1762,294,9,89,54,229,43,71,11.9,0.4,3.6,2.2,9.2,1.7,302,12.2,888,35.8,1045,177,238,38,86,5,61,440,16.9,22.8,3.6,8.2,0.5,5.8,42.1,2.37,1490,445,23,1385,105,7,156,1329,291,8.8,74.8,16.4,43781.00,139,5.7,1176,762,414,64.8,35.2,1964,5,82,377,365,244,67,36,0,0,0.4,7,32.1,31,20.7,5.7,3.1,0,0,113235.00,550,495,52.6,47.4,131,11.1
6,205,KCMO,29047020500,29047020500,Clay,2775675,1091068,5086,564,316,410,312,233,737,674,552,262,204,512,311,11.1,6.2,8.1,6.1,4.6,14.5,13.3,10.9,5.1,4,10.1,6.1,34.6,857,16.8,4345,249,25,134,0,68,264,85.4,4.9,0.5,2.6,0,1.3,5.2,569,11.2,1248,24.5,2013,321,412,249,209,53,32,737,16,20.5,12.4,10.4,2.6,1.6,36.6,2.53,2450,1265,34.1,2213,237,9.7,428,2213,607,13.2,68.1,18.7,38413.00,1171,23.1,2318,1534,784,66.2,33.8,1964,262,268,369,488,476,175,156,123,0,11.3,11.6,15.9,21,20.5,7.5,6.7,5.3,0,94476.00,1194,819,59.3,40.7,305,13.2
7,206.02,KCMO,29047020602,29047020602,Clay,2784444,1089531,4323,383,440,369,125,365,932,588,454,160,91,201,215,8.9,10.2,8.5,2.9,8.4,21.6,13.6,10.5,3.7,2.1,4.6,5,30.1,887,20.5,3405,657,17,44,0,0,200,78.8,15.2,0.4,1,0,0,4.6,436,10.1,1308,30.3,1704,351,309,154,63,51,0,776,20.6,18.1,9,3.7,3,0,45.5,2.52,2195,915,29.4,1899,296,13.5,258,1878,505,9.8,71.1,19.1,42500.00,953,22.1,1783,1022,761,57.3,42.7,1974,31,88,287,426,351,184,144,272,0,1.7,4.9,16.1,23.9,19.7,10.3,8.1,15.3,0,112161.00,479,1225,28.1,71.9,79,4.4
8,206.03,KCMO,29047020603,29047020603,Clay,2786042,1100975,3630,310,306,199,190,194,677,502,565,183,190,212,102,8.5,8.4,5.5,5.2,5.3,18.7,13.8,15.6,5,5.2,5.8,2.8,34.1,638,17.6,3340,180,40,21,0,10,39,92,5,1.1,0.6,0,0.3,1.1,409,11.3,671,18.5,1355,239,326,86,96,56,87,465,17.6,24.1,6.3,7.1,4.1,6.4,34.3,2.68,2074,689,24.9,1754,320,15.4,519,1601,311,21.3,65.9,12.8,46804.00,664,18.3,1449,1360,89,93.9,6.1,1964,113,135,403,393,78,85,194,48,0,7.8,9.3,27.8,27.1,5.4,5.9,13.4,3.3,0,95097.00,950,405,70.1,29.9,94,6.5
9,206.04,KCMO,29047020604,29047020604,Clay,2784455,1094858,4872,251,166,370,351,359,652,732,891,306,155,333,306,5.2,3.4,7.6,7.2,7.4,13.4,15,18.3,6.3,3.2,6.8,6.3,38.9,816,16.7,3779,301,4,159,0,138,491,77.6,6.2,0.1,3.3,0,2.8,10.1,560,11.5,1411,29,2026,260,541,222,126,45,50,782,12.8,26.7,11,6.2,2.2,2.5,38.6,2.4,2850,1126,28.3,2564,286,10,455,2213,707,13.5,65.6,20.9,47770.00,505,10.4,2208,1889,319,85.6,14.4,1971,63,142,650,468,203,110,260,306,6,2.9,6.4,29.4,21.2,9.2,5,11.8,13.9,0.3,105202.00,1456,570,71.9,28.1,182,8.2
10,209.01,KCMO,29047020901,29047020901,Clay,2778818,1102444,5465,495,203,370,304,341,716,679,729,402,481,394,351,9.1,3.7,6.8,5.6,6.2,13.1,12.4,13.3,7.4,8.8,7.2,6.4,39.5,862,15.8,4662,280,0,294,0,0,229,85.3,5.1,0,5.4,0,0,4.2,207,3.8,975,17.8,2347,495,615,126,76,29,19,987,21.1,26.2,5.4,3.2,1.2,0.8,42.1,2.33,2978,1309,30.5,2900,78,2.6,392,2017,1343,10.4,53.8,35.8,66250.00,239,4.4,2499,2127,372,85.1,14.9,1967,107,244,905,196,377,233,163,274,0,4.3,9.8,36.2,7.8,15.1,9.3,6.5,11,0,133900.00,1860,487,79.3,20.7,152,6.1
