Neighborhood,Evictions 2014-2016
18th And Vine And Downtown East,116
Armour Fields,3
Armour Hills,2
Ashland Ridge,148
Bannister Acres,38
Beacon Hills,27
Blenheim Square Research Hospital,96
Blue Hills,443
Blue Hills Estates,6
Blue Ridge Farms,16
Blue Valley Industrial,18
Blue Vue Hills,11
Boone Hills,223
Briarcliff And Claymont,3
Bridlespur,91
Broadway Gillham,159
Brookside Park,2
Brown Estates,19
Calico Farms,93
CBD Downtown,237
Central Hyde Park,58
Chaumiere,1
Chouteau Estates,2
Citadel,183
Coachlight Square,13
Columbus Park,21
Country Club Plaza,18
Country Lane Estates,31
Country Valley-Hawthorn Square,45
Countryside,5
Coves North,2
Crestview,2
Crossgates,184
Crossroads,28
Crown Center,5
Davidson,4
East Community Team North,20
East Community Team South,119
East Meyer 6,131
East Meyer 7,128
East Swope Highlands,103
Eastern 49-63,159
Eastwood Hills East,186
Eastwood Hills West,433
Fairlane,443
Fairway Hills,41
Fairwood And Robandee,147
Forgotten Homes,28
Foxcroft And Glen Arbor,5
Foxtown East,64
Foxwoods-Carriage Hills,4
Gashland,4
Greenway Fields,4
Hanover Place,209
Hawthorne And Picture Hills,1
Hickman Mills,257
Hickman Mills South,92
Hidden Valley,209
Highview Estates,60
Hill Haven,1
Hillcrest,137
Holmes Park,9
Hospital Hill,7
Independence Plaza,45
Ingleside,42
Ivanhoe Southeast,72
Ivanhoe Southwest,158
KCI & 2nd Creek,2
Key Coalition,47
Kirkside,126
Knoches Park,35
Lea Manor,65
Leeds,48
Legacy East,149
Lewis Heights,133
Linden Hills And Indian Heights,315
Little Blue,42
Loma Vista,378
Longview,4
Lykins,17
Manheim Park,162
Maple Park West,3
Marlborough East,122
Marlborough Heights/Marlborough Pride,395
Martin City,16
Minneville,1
Mission Lake,87
Morningside,5
Mount Cleveland,18
Mount Hope,99
Neighbors United For Action,75
Noble And Gregory Ridge,116
North Blue Ridge,75
North Hyde Park,170
North Town Fork Creek,320
Northeast Industrial District,5
Oak Meyer Gardens,6
Oak Park Southeast,151
Oak Park Southwest,122
Oakwood,10
Old Westport,169
Oldham Farms,66
Park Central-Research Park,43
Park Farms,300
Park Forest,2
Parkdale And Walden,1
Parkview,100
Paseo West,66
Pendleton Heights,67
Platte Brook North,1
Platte Ridge,2
Plaza Westport,38
Prairie Point-Wildberry,1
Ravenwood-Somerset,2
Red Bridge North,4
Red Bridge South,81
Richards Gebaur,94
Ridgefield,1
Riss Lake,429
River Forest,6
River Market,24
River View,1
Roanoke,3
Robandee South,64
Rockhill,34
Rockhill Manor,160
Rolling Meadows,11
Romanelli West,1
Royal Oaks,42
Ruskin Heights,373
Ruskin Hills,250
Santa Fe Hills,196
Self Help Neighborhood Council,133
Sheffield,6
Sheraton Estates,8
Sherwood Estates,4
Shoal Creek,5
South Blue Valley,108
South Hyde Park,61
South Plaza,16
South Town Fork Creek,77
Southmoreland,89
St Catherines Gardens,78
Stayton Meadows,53
Sterling Acres,18
Sterling Gardens,10
Stratford Estates,96
Strupwood,7
Sunset Hill,18
Sunset Hill West,2
Swope Park Campus,73
Swope Park Ridge-Winchester,2
Swope Parkway-Elmwood,207
Tanglewood And Regency North,1
Terrace Lake Gardens,24
The Coves,1
Tower Homes,63
Unity Ridge,7
Valentine,77
Verona Hills,3
Vineyard,117
Vineyard Estates,49
Vineyard Northwest,47
Volker,53
Waldo Homes,26
Ward Parkway,15
Ward Parkway Plaza,10
Washington Wheatley,36
Wendell Phillips,129
West Plaza,70
West Waldo,8
Western 49-63,28
Western Blue Township,35
Western Hills,20
Westside North,83
Westside South,16
Westwood,2
White Oak,67
Willow Creek,358
Winnwood,1
Winnwood Gardens,2
Woodbridge,4
Woodson Estates,10
(blank),
Grand Total,14055
