Neighborhood,Evictions 2014 2016,Zip Code
18th And Vine And Downtown East,116,64127
Armour Fields,3,64113
Armour Hills,2,64113
Ashland Ridge,148,64133
Bannister Acres,38,64134
Beacon Hills,27,64108
Blenheim Square Research Hospital,96,64132
Blue Hills,443,64130
Blue Hills Estates,6,64145
Blue Ridge Farms,16,64146
Blue Valley Industrial,18,64126
Blue Vue Hills,11,64133
Boone Hills,223,64114
Briarcliff And Claymont,3,64116
Bridlespur,91,64114
Broadway Gillham,159,64111
Brookside Park,2,64113
Brown Estates,19,64129
Calico Farms,93,64137
CBD Downtown,237,64105
Central Hyde Park,58,64109
Chaumiere,1,64117
Chouteau Estates,2,64117
Citadel,183,64110
Coachlight Square,13,64129
Columbus Park,21,64106
Country Club Plaza,18,64112
Country Lane Estates,31,64114
Country Valley Hawthorn Square,45,64136
Countryside,5,64112
Coves North,2,64154
Crestview,2,64116
Crossgates,184,64134
Crossroads,28,64108
Crown Center,5,64108
Davidson,4,64118
East Community Team North,20,64127
East Community Team South,119,64127
East Meyer 6,131,64132
East Meyer 7,128,64131
East Swope Highlands,103,64133
Eastern 49 63,159,64110
Eastwood Hills East,186,64129
Eastwood Hills West,433,64129
Fairlane,443,64134
Fairway Hills,41,64133
Fairwood And Robandee,147,64138
Forgotten Homes,28,64127
Foxcroft And Glen Arbor,5,64114
Foxtown East,64,64132
Foxwoods Carriage Hills,4,64119
Gashland,4,64155
Greenway Fields,4,64113
Hanover Place,209,64111
Hawthorne And Picture Hills,1,64151
Hickman Mills,257,64134
Hickman Mills South,92,64134
Hidden Valley,209,64132
Highview Estates,60,64138
Hill Haven,1,64117
Hillcrest,137,64132
Holmes Park,9,64131
Hospital Hill,7,64108
Independence Plaza,45,64127
Ingleside,42,64128
Ivanhoe Southeast,72,64130
Ivanhoe Southwest,158,64110
KCI & 2nd Creek,2,64153
Key Coalition,47,64109
Kirkside,126,64134
Knoches Park,35,64128
Lea Manor,65,64114
Leeds,48,64129
Legacy East,149,64131
Lewis Heights,133,64129
Linden Hills And Indian Heights,315,64131
Little Blue,42,64133
Loma Vista,378,64138
Longview,4,64134
Lykins,17,64127
Manheim Park,162,64110
Maple Park West,3,64119
Marlborough East,122,64132
Marlborough Heights/Marlborough Pride,395,64132
Martin City,16,64145
Minneville,1,64161
Mission Lake,87,64146
Morningside,5,64113
Mount Cleveland,18,64130
Mount Hope,99,64109
Neighbors United For Action,75,64131
Noble And Gregory Ridge,116,64132
North Blue Ridge,75,64125
North Hyde Park,170,64109
North Town Fork Creek,320,64130
Northeast Industrial District,5,64120
Oak Meyer Gardens,6,64131
Oak Park Southeast,151,64130
Oak Park Southwest,122,64130
Oakwood,10,64137
Old Westport,169,64111
Oldham Farms,66,64138
Park Central Research Park,43,64110
Park Farms,300,64138
Park Forest,2,64152
Parkdale And Walden,1,64151
Parkview,100,64106
Paseo West,66,64106
Pendleton Heights,67,64124
Platte Brook North,1,64151
Platte Ridge,2,64152
Plaza Westport,38,64111
Prairie Point Wildberry,1,64153
Ravenwood Somerset,2,64119
Red Bridge North,4,64131
Red Bridge South,81,64131
Richards Gebaur,94,64145
Ridgefield,1,64118
Riss Lake,429,64133
River Forest,6,64116
River Market,24,64106
River View,1,64116
Roanoke,3,64111
Robandee South,64,64134
Rockhill,34,64110
Rockhill Manor,160,64131
Rolling Meadows,11,64131
Romanelli West,1,64113
Royal Oaks,42,64137
Ruskin Heights,373,64134
Ruskin Hills,250,64134
Santa Fe Hills,196,64128
Self Help Neighborhood Council,133,64132
Sheffield,6,64125
Sheraton Estates,8,64130
Sherwood Estates,4,64119
Shoal Creek,5,64157
South Blue Valley,108,64129
South Hyde Park,61,64110
South Plaza,16,64112
South Town Fork Creek,77,64130
Southmoreland,89,64111
St Catherines Gardens,78,64137
Stayton Meadows,53,64133
Sterling Acres,18,64133
Sterling Gardens,10,64133
Stratford Estates,96,64134
Strupwood,7,64133
Sunset Hill,18,64112
Sunset Hill West,2,64113
Swope Park Campus,73,64132
Swope Park Ridge Winchester,2,64133
Swope Parkway Elmwood,207,64130
Tanglewood And Regency North,1,64118
Terrace Lake Gardens,24,64137
The Coves,1,64151
Tower Homes,63,64114
Unity Ridge,7,64139
Valentine,77,64111
Verona Hills,3,64114
Vineyard,117,64130
Vineyard Estates,49,64130
Vineyard Northwest,47,64130
Volker,53,64111
Waldo Homes,26,64114
Ward Parkway,15,64114
Ward Parkway Plaza,10,64114
Washington Wheatley,36,64127
Wendell Phillips,129,64127
West Plaza,70,64111
West Waldo,8,64114
Western 49 63,28,64110
Western Blue Township,35,64129
Western Hills,20,64114
Westside North,83,64108
Westside South,16,64108
Westwood,2,64112
White Oak,67,64138
Willow Creek,358,64114
Winnwood,1,64117
Winnwood Gardens,2,64117
Woodbridge,4,64145
Woodson Estates,10,64133
