,TRACT,ZIP,Island Number,Census Tract,KCMO Portion or Not,STFID Label,County,X Centroid,Y Centroid,Population,Age Under 5 Years,Age 5 to 9 Years,Age 10 to 14 Years,Age 15 to 19 Years,Age 20 to 24 Years,Age 25 to 34 Years,Age 35 to 44 Years,Age 45 to 54 Years,Age 55 to 59 Years,Age 60 to 64 Years,Age 65 to 74 Years,Age 75 Years or Older,% Age Under 5 Years,% Age 5 to 9 Years,% Age 10 to 14 Years,% Age 15 to 19 Years,% Age 20 to 24 Years,% Age 25 to 34 Years,% Age 35 to 44 Years,% Age 45 to 54 Years,% Age 55 to 59 Years,% Age 60 to 64 Years,% Age 65 to 74 Years,% Age 75 Years or Older,Median Age,Children 5 to 17 Years Old,% Children 5 to 17 Years Old,Whites,African Americans,Native Americans,Asians,Pacific Islanders,Persons of Other Races,Persons of More than One Race,% Whites,% African Americans,% Native Americans,% Asians,% Pacific Islanders,% Persons of Other Races,% Persons of More than One Race,Hispanics of Any Race,% Hispanics of Any Race,Minority Persons,% Minority Persons,Households,Married Couples With Own Children Under 18,Married Couples Without Own Children Under 18,Female Householder With No Husband With Own Children Under 18,Female Householder With No Husband Without Own Children Under 18,Male Householder With No Wife With Own Children Under 18,Male Householder With No Wife Without Own Children Under 18,Non-Family Households,% Married Couples With Own Children Under 18,% Married Couples Without Own Children Under 18,% Female Householder With No Husband With Own Children Under 18,% Female Householder With No Husband Without Own Children Under 18,% Male Householder With No Wife With Own Children Under 18,% Male Householder With No Wife Without Own Children Under 18,% Non-Family Households,Average Persons per Household,Persons 16 or Older in Labor Force,Persons 16 or Older Not in Labor Force,% Persons 16 or Older Not in Labor Force,Persons in Labor Force and Employed,Persons in Labor Force and Unemployed,% of Labor Force Unemployed,Persons 25 or Older with Less than High School Diploma,Persons 25 or Older with High School Diploma and Less than BA Degree,Persons 25 or Older with BA Degree or Higher,% Persons 25 or Older with Less than High School Diploma,% Persons 25 or Older with High School Diploma and Less than BA Degree,% Persons 25 or Older with BA Degree or Higher,Median Household Income,Persons Below Poverty Level,% Persons Below Poverty Level,Housing Units,Single Family Units,Multifamily Units,% Single Family Units,% Multifamily Units,Average Housing Unit Age,Units Built Before 1940,Units Built 1940 to 1949,Units Built 1950 to 1959,Units Built 1960 to 1969,Units Built 1970 to 1979,Units Built 1980 to 1989,Units Built 1990 to 1999,Units Built 2000 to 2010,Units Built 2011 to 2013,% Units Built Before 1940,% Units Built 1940 to 1949,% Units Built 1950 to 1959,% Units Built 1960 to 1969,% Units Built 1970 to 1979,% Units Built 1980 to 1989,% Units Built 1990 to 1999,% Units Built 2000 to 2010,% Units Built 2011 to 2013,Median Home Value,Owner-Occupied Units,Renter-Occupied Units,% Owner-Occupied Units,% Renter-Occupied Units,Vacant Units,% Vacant Units
19,29037060100,64012,1,601,KCMO,29037060100,Cass,2771674,971518,109,3,0,0,34,45,12,7,8,0,0,0,0,3,0,0,30.7,41.6,10.8,6.7,7.2,0,0,0,0,22,2,1.5,93,0,0,12,0,0,5,85.3,0,0,10.5,0,0,4.2,0,0,13,11.9,24,4,0,0,0,0,0,20,15.6,0,0,0,0,0,84.4,1.12,81,24,22.8,54,27,32.9,0,11,17,0,39.8,60.2,33272,0,0,24,0,24,0,100,1973,0,0,11,0,4,0,9,0,0,0,0,47.2,0,15.4,0,37.3,0,0,37500,0,24,0,100,0,0
20,29037060100,64147,1,601,KCMO,29037060100,Cass,2771674,971518,109,3,0,0,34,45,12,7,8,0,0,0,0,3,0,0,30.7,41.6,10.8,6.7,7.2,0,0,0,0,22,2,1.5,93,0,0,12,0,0,5,85.3,0,0,10.5,0,0,4.2,0,0,13,11.9,24,4,0,0,0,0,0,20,15.6,0,0,0,0,0,84.4,1.12,81,24,22.8,54,27,32.9,0,11,17,0,39.8,60.2,33272,0,0,24,0,24,0,100,1973,0,0,11,0,4,0,9,0,0,0,0,47.2,0,15.4,0,37.3,0,0,37500,0,24,0,100,0,0
77,29165030600,64018,173,306,KCMO,29165030600,Platte,2740109,1152531,279,10,9,0,0,8,57,65,8,0,64,15,42,3.7,3.2,0,0,2.9,20.3,23.3,2.9,0,22.9,5.5,15.2,43.5,21,7.4,234,0,14,30,0,0,0,83.9,0,5.2,10.9,0,0,0,0,0,28,10.2,147,17,7,0,19,0,44,60,11.6,4.6,0,12.9,0,29.8,41,1.89,116,133,53.4,116,0,0,14,211,19,5.8,86.4,7.8,23724,0,0,177,177,0,100,0,1973,13,0,93,0,0,0,0,72,0,7.1,0,52.2,0,0,0,0,40.7,0,141496,72,75,49.1,50.9,30,17.1
78,29165030600,64079,173,306,KCMO,29165030600,Platte,2740109,1152531,279,10,9,0,0,8,57,65,8,0,64,15,42,3.7,3.2,0,0,2.9,20.3,23.3,2.9,0,22.9,5.5,15.2,43.5,21,7.4,234,0,14,30,0,0,0,83.9,0,5.2,10.9,0,0,0,0,0,28,10.2,147,17,7,0,19,0,44,60,11.6,4.6,0,12.9,0,29.8,41,1.89,116,133,53.4,116,0,0,14,211,19,5.8,86.4,7.8,23724,0,0,177,177,0,100,0,1973,13,0,93,0,0,0,0,72,0,7.1,0,52.2,0,0,0,0,40.7,0,141496,72,75,49.1,50.9,30,17.1
79,29165030600,64089,173,306,KCMO,29165030600,Platte,2740109,1152531,279,10,9,0,0,8,57,65,8,0,64,15,42,3.7,3.2,0,0,2.9,20.3,23.3,2.9,0,22.9,5.5,15.2,43.5,21,7.4,234,0,14,30,0,0,0,83.9,0,5.2,10.9,0,0,0,0,0,28,10.2,147,17,7,0,19,0,44,60,11.6,4.6,0,12.9,0,29.8,41,1.89,116,133,53.4,116,0,0,14,211,19,5.8,86.4,7.8,23724,0,0,177,177,0,100,0,1973,13,0,93,0,0,0,0,72,0,7.1,0,52.2,0,0,0,0,40.7,0,141496,72,75,49.1,50.9,30,17.1
80,29165030600,64154,173,306,KCMO,29165030600,Platte,2740109,1152531,279,10,9,0,0,8,57,65,8,0,64,15,42,3.7,3.2,0,0,2.9,20.3,23.3,2.9,0,22.9,5.5,15.2,43.5,21,7.4,234,0,14,30,0,0,0,83.9,0,5.2,10.9,0,0,0,0,0,28,10.2,147,17,7,0,19,0,44,60,11.6,4.6,0,12.9,0,29.8,41,1.89,116,133,53.4,116,0,0,14,211,19,5.8,86.4,7.8,23724,0,0,177,177,0,100,0,1973,13,0,93,0,0,0,0,72,0,7.1,0,52.2,0,0,0,0,40.7,0,141496,72,75,49.1,50.9,30,17.1
81,29165030600,64163,173,306,KCMO,29165030600,Platte,2740109,1152531,279,10,9,0,0,8,57,65,8,0,64,15,42,3.7,3.2,0,0,2.9,20.3,23.3,2.9,0,22.9,5.5,15.2,43.5,21,7.4,234,0,14,30,0,0,0,83.9,0,5.2,10.9,0,0,0,0,0,28,10.2,147,17,7,0,19,0,44,60,11.6,4.6,0,12.9,0,29.8,41,1.89,116,133,53.4,116,0,0,14,211,19,5.8,86.4,7.8,23724,0,0,177,177,0,100,0,1973,13,0,93,0,0,0,0,72,0,7.1,0,52.2,0,0,0,0,40.7,0,141496,72,75,49.1,50.9,30,17.1
82,29165030600,64164,173,306,KCMO,29165030600,Platte,2740109,1152531,279,10,9,0,0,8,57,65,8,0,64,15,42,3.7,3.2,0,0,2.9,20.3,23.3,2.9,0,22.9,5.5,15.2,43.5,21,7.4,234,0,14,30,0,0,0,83.9,0,5.2,10.9,0,0,0,0,0,28,10.2,147,17,7,0,19,0,44,60,11.6,4.6,0,12.9,0,29.8,41,1.89,116,133,53.4,116,0,0,14,211,19,5.8,86.4,7.8,23724,0,0,177,177,0,100,0,1973,13,0,93,0,0,0,0,72,0,7.1,0,52.2,0,0,0,0,40.7,0,141496,72,75,49.1,50.9,30,17.1
83,29165030600,64439,173,306,KCMO,29165030600,Platte,2740109,1152531,279,10,9,0,0,8,57,65,8,0,64,15,42,3.7,3.2,0,0,2.9,20.3,23.3,2.9,0,22.9,5.5,15.2,43.5,21,7.4,234,0,14,30,0,0,0,83.9,0,5.2,10.9,0,0,0,0,0,28,10.2,147,17,7,0,19,0,44,60,11.6,4.6,0,12.9,0,29.8,41,1.89,116,133,53.4,116,0,0,14,211,19,5.8,86.4,7.8,23724,0,0,177,177,0,100,0,1973,13,0,93,0,0,0,0,72,0,7.1,0,52.2,0,0,0,0,40.7,0,141496,72,75,49.1,50.9,30,17.1
84,29165030600,64444,173,306,KCMO,29165030600,Platte,2740109,1152531,279,10,9,0,0,8,57,65,8,0,64,15,42,3.7,3.2,0,0,2.9,20.3,23.3,2.9,0,22.9,5.5,15.2,43.5,21,7.4,234,0,14,30,0,0,0,83.9,0,5.2,10.9,0,0,0,0,0,28,10.2,147,17,7,0,19,0,44,60,11.6,4.6,0,12.9,0,29.8,41,1.89,116,133,53.4,116,0,0,14,211,19,5.8,86.4,7.8,23724,0,0,177,177,0,100,0,1973,13,0,93,0,0,0,0,72,0,7.1,0,52.2,0,0,0,0,40.7,0,141496,72,75,49.1,50.9,30,17.1
